amazon_brand,amazon_price
Redmi 6 Pro (Black 4GB RAM 64GB Storage),10999
Redmi 6A (Black 2GB RAM 16GB Storage),5999
Redmi 6 Pro (Black 3GB RAM 32GB Storage),8999
Honor 9N (Blue 4GB RAM 64GB Storage),9999
Samsung Guru Music 2 SM-B310E (White),1625
Mi A2 (Black 6GB RAM 128GB Storage),15999
Redmi 7 (Lunar Red 2GB RAM 32GB Storage),7999
Moto E5 Plus (Black 3GB RAM 32GB Storage),8091
Mi Redmi 6 (Blue 3GB RAM 64GB Storage),7930
Redmi Y2 (Black 3GB RAM 32GB Storage),8799
Samsung Galaxy M10 (Ocean Blue 3+32GB),8990
Samsung Galaxy M20 (Ocean Blue 4+64GB),11990
Redmi Note 7S (Onyx Black 64GB 4GB RAM),14890
Nokia 105 (Black),1036
OPPO Reno (Ocean Green 8GB RAM 128 GB Storage) with No Cost EMI/Additional Exchange Offers,32990
OnePlus 6T (Mirror Black 6GB RAM 128GB Storage),29999
